title,characters,url,Production code,Season №,Episode №,Airdate,U.S. premiere time (ET),Copyright year,U.S. viewers (millions),Running time,Sister episode(s),Writer(s),Storyboard Artist(s),Storyboard,Animation,Creative,Next,Previous,Guest(s),Supervising,Line Producer,Main,Supervising Producer(s),Technical,Animation Supervisor
The Original Fry Cook,"['Eugene H. Krabs', 'French Narrator', 'Jim', 'Guard', 'Bodyguard', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 7', 'Incidental 8', 'Incidental 10', 'Charlie', 'Incidental 27', 'Incidental 31', 'Incidental 37A', 'Incidental 37B', 'Scooter', 'Incidental 40', 'Incidental 41', 'Incidental 42', 'Incidental 45', 'Incidental 46', 'Incidental 47', 'Incidental 48', 'Incidental 49', 'Incidental 60', 'Incidental 64', 'Incidental 69', 'Harris', 'Old Man Walker', 'Incidental 91', 'Incidental 92', 'Incidental 103', 'Incidental 105', 'Incidental 106', 'Incidental 107', 'Dale', 'Incidental 118', 'Incidental 152', 'Sandals']",https://spongebob.fandom.com/wiki/The_Original_Fry_Cook,151-503,5,82a,"April 9, 2007",5:00 pm,2006,2.85,"10 minutes, 52 seconds","""Night Light""","['Luke Brookshier', 'Tom King', 'Steven Banks', 'Dani Michaeli']",,"['Luke Brookshier', 'Tom King']",Andrew Overtoom,,"""Night Light""","""Friend or Foe""",Patton Oswalt as Jim,,,,Paul Tibbitt,Vincent Waller,
Night Light,"['SpongeBob SquarePants', 'Gary the Snail', 'Squidward Tentacles', 'Eugene H. Krabs', 'Tom Kenny', 'Tom Kenny', 'Derek Iversen', 'Incidental 104', 'Shelley', 'Patrick Star', 'Barnacle Boy', 'Mermaid Man', 'Incidental 42', 'The Moth', 'King Neptune']",https://spongebob.fandom.com/wiki/Night_Light,5574-435,5,82b,"April 9, 2007",5:15 pm,2006,2.85,"10 minutes, 53 seconds","""The Original Fry Cook""","['Casey Alexander', 'Chris Mitchell', 'Steven Banks']",,"['Casey Alexander', 'Chris Mitchell']",Andrew Overtoom,,"""Rise and Shine""","""The Original Fry Cook""","['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Mark Hamill as The Moth', 'Derek Iversen as the Face in the darkness']",,,,Paul Tibbitt,Vincent Waller,
Rise and Shine,"['SpongeBob SquarePants', 'Shelley', 'Gary the Snail', 'Patrick Star', 'Alarm Clock', 'Pillow SpongeBob', 'Dancing anemone']",https://spongebob.fandom.com/wiki/Rise_and_Shine,151-504-4 (504a),5,83a,"February 16, 2007",8:00 pm,2006,5.34,4 minutes,"['""Waiting""', '""Fungus Among Us""']","['Nate Cash', 'Steven Banks']",,Nate Cash,Andrew Overtoom,Vincent Waller,"""Waiting""","""Night Light""",,,,,Paul Tibbitt,,
Waiting,"['Incidentals', 'Incidental 48', 'Incidental 42', 'Incidental 154', 'Gary the Snail', 'Jellyfish', 'SpongeBob SquarePants', 'Patrick Star', 'Sandy Cheeks', 'Squidward Tentacles']",https://spongebob.fandom.com/wiki/Waiting,151-504-7 (504b),5,83b,"February 16, 2007",8:04 pm,2006,5.34,7 minutes,"['""Rise and Shine""', '""Fungus Among Us""']","['Nate Cash', 'Tuck Tucker', 'Steven Banks']",,"['Nate Cash', 'Tuck Tucker']",Alan Smart,Vincent Waller,"""Fungus Among Us""","""Rise and Shine""",,,,,Paul Tibbitt,,
Fungus Among Us,"['SpongeBob SquarePants', 'Gary the Snail', 'Patrick Star', 'Squidward Tentacles', 'SWAT Team', 'HAZMAT Unit', 'HAZMAT nurse', 'HAZMAT doctor', 'Eugene H. Krabs', 'Incidentals', 'Old Man Walker', 'Incidental 41', 'Incidental 42', 'Incidental 104', 'Incidental 92', 'Incidental 49', 'Incidental 102', 'Incidental 103', 'Incidental 31', 'Incidental 63', 'Incidental 60', 'Incidental 40', 'Incidental 64', 'Incidental 65', 'Incidental 37B', 'Fancy fish', 'Shelley', 'King Neptune']",https://spongebob.fandom.com/wiki/Fungus_Among_Us,151-505,5,83c,"March 22, 2007",8:30 pm,2006,2.26,11 minutes,"['""Rise and Shine""', '""Waiting""']","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Tom Yasumi,Vincent Waller,"""Spy Buddies""","""Waiting""",,,,,Paul Tibbitt,,
Spy Buddies,"['Sheldon J. Plankton', 'Robot Krabs', 'Eugene H. Krabs', 'SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Sandy Cheeks', 'Sandy Cheeks', 'Sandy Cheeks', 'Jellyfish', 'Karen Plankton', 'Incidentals', 'Incidental 41', 'Incidental 106', 'Incidental 40', 'Incidental 67', 'Incidental 107', 'Incidental 63', 'Incidental 60', 'Incidental 48', 'Incidental 104', 'Fred', 'Incidental 7', 'Incidental 46', 'Incidental 14', 'Mary', 'Old Man Walker', 'Incidental 8', 'Incidental 49', 'Incidental 105', 'Patrick clone', 'King Neptune']",https://spongebob.fandom.com/wiki/Spy_Buddies,151-506,5,84a,"April 17, 2007",5:00 pm,2006,4.93,11 minutes,"['""Boat Smarts""', '""Good Ol\' Whatshisname""']","['Luke Brookshier', 'Tom King', 'Dani Michaeli']",,"['Luke Brookshier', 'Tom King']",Andrew Overtoom,Vincent Waller,"""Boat Smarts""","""Fungus Among Us""",,,,,Paul Tibbitt,,
Boat Smarts,"['Mrs. Puff', 'Squidward Tentacles', 'SpongeBob SquarePants', 'Incidentals', 'Incidental 119', 'Incidental 60', 'Incidental 45', 'Incidental 107', 'Incidental 42', 'Incidental 36', 'Incidental 64', 'Incidental 6', 'Incidental 49', 'Fred', 'Incidental 41', 'Incidental 106', 'Incidental 48']",https://spongebob.fandom.com/wiki/Boat_Smarts,151-508-4 (508b),5,84b,"June 5, 2007",5:15 pm,2006,4.93,4 minutes,"['""Spy Buddies""', '""Good Ol\' Whatshisname""']","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Alan Smart,Vincent Waller,"""Good Ol' Whatshisname""","""Spy Buddies""",,,,,Paul Tibbitt,,
Good Ol' Whatshisname,"['Eugene H. Krabs', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Incidentals', 'Incidental 14', 'Incidental 60', 'Incidental 47', 'Incidental 45', 'Lenny', 'Incidental 64', 'Incidental 27', 'Incidental 48', 'Incidental 37A', 'Dale', 'Incidental 107', 'Incidental 105', 'Incidental 42', 'Incidental 106', 'Incidental 49', 'Scooter', 'Incidental 82', 'Incidental 87', 'Incidental 41', 'Incidental 7', 'Mr. What Zit Tooya', 'Incidental 118', 'Patrick Star', 'King Neptune']",https://spongebob.fandom.com/wiki/Good_Ol%27_Whatshisname,151-508-7 (508a),5,84c,"June 5, 2007",5:19 pm,2006,4.93,7 minutes,"['""Spy Buddies""', '""Boat Smarts""']","['Casey Alexander', 'Zeus Cervas', 'Dani Michaeli (American TV airings, digital releases, and streaming services)', 'Richard Pursel (DVD releases and international non-US airings)']",,"['Casey Alexander', 'Zeus Cervas']",Alan Smart,Vincent Waller,"""New Digs""","""Boat Smarts""",,,,,Paul Tibbitt,,
New Digs,"['Gary the Snail', 'SpongeBob SquarePants', 'Scallops and clams', 'Eugene H. Krabs', 'Squidward Tentacles', 'Harold SquarePants', 'Margaret SquarePants', 'Patrick Star', 'Incidentals', 'Incidental 48', 'Incidental 7', 'Incidental 150', 'Incidental 40', 'Incidental 102', 'Incidental 63', 'Incidental 107', 'Fred', 'Incidental 41', 'Incidental 12', 'Harold', 'Lenny', 'Incidental 27', 'Incidental 37A', 'Billy', 'John', 'Incidental 60', 'Trucker', 'Shelley', 'King Neptune']",https://spongebob.fandom.com/wiki/New_Digs,151-510,5,85a,"June 5, 2007",5:00 pm,2006,3.90,11 minutes,"""Krabs à la Mode""","['Nate Cash', 'Tuck Tucker', 'Richard Pursel']",,"['Nate Cash', 'Tuck Tucker']",Andrew Overtoom,Vincent Waller,"""Krabs à la Mode""","""Good Ol' Whatshisname""",,,,,Paul Tibbitt,,
Krabs à la Mode,"['French Narrator', 'Squidward Tentacles', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Incidentals', 'Incidental 31', 'Incidental 42', 'Incidental 14', 'Fred', 'Incidental 40', 'Incidental 27', 'Incidental 13', 'Incidental 41', 'Incidental 60', 'Incidental 49', 'Incidental 45', 'Incidental 8', 'Incidental 37B', 'Incidental 102', 'Incidental 103', 'Incidental 107', 'Incidental 150', 'Incidental 153', 'Incidental 152', 'Incidental 151', 'Old Man Walker', 'Incidental 30A', 'Incidental 36', 'Incidental 119', 'Incidental 104', 'Incidental 48', 'Incidental 64', 'Sheldon J. Plankton', 'Santa Claus', 'Karen Plankton', 'Bikini Bottom Hockey Team', 'Patrick Star', 'Gary the Snail', 'Mrs. Puff', 'Scallop']",https://spongebob.fandom.com/wiki/Krabs_%C3%A0_la_Mode,151-509,5,85b,"June 5, 2007",5:15 pm,2006,3.90,11 minutes,"""New Digs""","['Luke Brookshier', 'Tom King', 'Eric Shaw']",,"['Luke Brookshier', 'Tom King']",Tom Yasumi,Vincent Waller,"""Roller Cowards""","""New Digs""",,,,,Paul Tibbitt,,
Roller Cowards,"['SpongeBob SquarePants', 'Delicious dairy treat', 'Gary the Snail', 'Patrick Star', 'Commercial voice-over', 'Grim Reaper', 'Glovey Glove', 'Larry the Lobster', 'Alternate-Universe Patrick', 'Incidentals', 'Incidental 107', 'Incidental 106', 'Incidental 40', 'Incidental 7', 'Incidental 41', 'Incidental 8', 'Incidental 37B', 'Nerd 1', 'Incidental 37A', 'Incidental 45', 'Old Man Walker', 'Incidental 159', 'Incidental 16', 'Charlie', 'Incidental 14', 'Incidental 42', 'Incidental 92', 'Incidental 6', 'Incidental 103', 'Incidental 152', 'Incidental 60', 'Incidental 36', 'Fred', 'Steven', 'Incidental 30', 'Incidental 64', 'Incidental 155', 'Scooter', 'Incidental 49', 'Incidental 27', 'Incidental 153', 'Incidental 151', 'Incidental 102', 'Incidental 68', 'Incidental 105', 'Incidental 48', 'Incidental 69', 'Incidental 3', 'John', 'Incidental 46', 'Incidental 108', 'Nerd 2']",https://spongebob.fandom.com/wiki/Roller_Cowards,151-512,5,86a,"June 5, 2007",5:00 pm,2006,3.03,"10 minutes, 48 seconds","""Bucket Sweet Bucket""","['Luke Brookshier', 'Tom King', 'Steven Banks']",,"['Luke Brookshier', 'Tom King']",Alan Smart,Vincent Waller,"""Bucket Sweet Bucket""","""Krabs à la Mode""",,,,,Paul Tibbitt,,
Bucket Sweet Bucket,"['Sheldon J. Plankton', 'Karen Plankton', 'Patrick Star', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Eugene H. Krabs', 'Incidentals', 'Incidental 119', 'Incidental 48', 'Incidental 105', 'Incidental 67', 'Incidental 114', 'Incidental 63', 'Incidental 47']",https://spongebob.fandom.com/wiki/Bucket_Sweet_Bucket,151-511,5,86b,"June 5, 2007",5:15 pm,2006,3.03,11 minutes,"""Roller Cowards""","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Larry Leichliter,Vincent Waller,"""To Love a Patty""","""Roller Cowards""",,,,,Paul Tibbitt,,
To Love a Patty,"['SpongeBob SquarePants', 'Patty', 'Squidward Tentacles', 'Tough guy fish', 'Mohawk brute 1', 'Therapist', 'Gary the Snail', 'Patrick Star', 'Sandy Cheeks', 'Incidentals', 'Incidental 24', 'Incidental 14', 'Incidental 106', 'Incidental 63', 'Incidental 103', 'Incidental 36', 'Scallops', '[1]', 'Jellyfish', 'Eugene H. Krabs']",https://spongebob.fandom.com/wiki/To_Love_a_Patty,151-514,5,87a,"July 26, 2007",5:00 pm,2006,3.68,"10 minutes, 54 seconds","""Breath of Fresh Squidward""","['Casey Alexander', 'Zeus Cervas', 'Eric Shaw']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Breath of Fresh Squidward""","""Bucket Sweet Bucket""",,,,,Paul Tibbitt,,
Breath of Fresh Squidward,"['Squidward Tentacles', 'Happy gland', 'Patrick Star', 'SpongeBob SquarePants', 'French Narrator', 'Seahorse', 'Eugene H. Krabs', 'Incidentals', 'Incidental 37B', 'Incidental 48', 'Incidental 2', 'Incidental 69', 'Incidental 31', 'Incidental 108', 'Incidental 104', 'Incidental 107', 'Incidental 37A', 'Incidental 40', 'Incidental 67', 'Incidental 27', 'Incidental 68', 'Incidental 7', 'Incidental 41', 'Incidental 60', 'Incidental 46', 'Incidental 47', 'Incidental 45', 'Incidental 151', 'Incidental 49', 'Incidental 6', 'Incidental 153', 'Incidental 42', 'Fred', 'Incidental 36', 'Incidental 106', 'Incidental 92', 'Incidental 155', 'Sandals', 'Incidental 64']",https://spongebob.fandom.com/wiki/Breath_of_Fresh_Squidward,151-513,5,87b,"June 5, 2007",5:15 pm,2006,3.68,"11 minutes, 18 seconds","""To Love a Patty""","['Nate Cash', 'Tuck Tucker', 'Richard Pursel']",,"['Nate Cash', 'Tuck Tucker']",Tom Yasumi,Vincent Waller,"""Money Talks""","""To Love a Patty""",,,,,Paul Tibbitt,,
Money Talks,"['SpongeBob SquarePants', 'Eugene H. Krabs', 'Squidward Tentacles', 'Incidentals', 'Old Man Walker', 'Mary', 'Business man', 'Incidental 107', 'Harold', 'Nat', 'Incidental 27', 'Incidental 48', 'Fred', 'Incidental 60', 'Incidental 49', 'Incidental 13', 'ghosts', 'Ghost 1', 'Ghost 2', 'Ghost 5', 'Ghost 6', 'Unknown ""Ghost"" 1', 'Unknown ""Ghost"" 2', 'Unknown ""Ghost"" 3', 'Unknown ""Ghost"" 4', 'Patrick Star', 'Flying Dutchman', 'Talking money', ""Incidental K1's mother""]",https://spongebob.fandom.com/wiki/Money_Talks,151-515-7 (515a),5,88a,"July 31, 2007",5:04 pm,2007,3.46,7 minutes,"['""SpongeBob vs. The Patty Gadget""', '""Slimy Dancing""']","['Luke Brookshier', 'Tom King', 'Dani Michaeli']",,"['Luke Brookshier', 'Tom King']",Alan Smart,Vincent Waller,"""SpongeBob vs. The Patty Gadget""","""Breath of Fresh Squidward""",Brian Doyle-Murray as Flying Dutchman,,,,Paul Tibbitt,,
SpongeBob vs. The Patty Gadget,"['Patchy the Pirate', 'SpongeBob SquarePants', 'Patrick Star', 'Sandy Cheeks', 'Patty Gadget', 'Squidward Tentacles', 'Eugene H. Krabs', 'Incidentals', 'Anchovies', 'Incidental 114', 'Incidental 115', 'Incidental 48', 'Incidental 69', 'Incidental 92', 'Don the Whale', 'Incidental 14', 'Steven', 'Incidental 37A', 'Incidental 67', 'Incidental 5', 'Incidental 37B', 'Incidental 102', 'Incidental 41', 'Incidental 60', 'Incidental 46', 'Incidental 49', 'Incidental 73', 'Incidental 152', 'Incidental 45', 'Incidental 103', 'Charlie', 'Carol', 'Incidental 47', 'Sandals', 'Incidental 64', 'Incidental 108', 'Incidental 105', 'Incidental 107', 'Incidental 12', 'King Neptune']",https://spongebob.fandom.com/wiki/SpongeBob_vs._The_Patty_Gadget,151-515-4 (515b),5,88b,"July 31, 2007",5:00 pm,2007,3.46,4 minutes,"['""Money Talks""', '""Slimy Dancing""']","['Luke Brookshier', 'Richard Pursel']",,Luke Brookshier,Alan Smart,Vincent Waller,"""Slimy Dancing""","""Money Talks""",Paul Tibbitt as King Neptune,,,,Paul Tibbitt,,
Slimy Dancing,"['Squidward Tentacles', 'Patrick Star', 'SpongeBob SquarePants', 'Incidentals', 'Incidental 48', 'Incidental 13', 'Incidental 24', 'Incidental 106', 'Incidental 45', 'Charlie', 'Incidental 2', 'Incidental 65', 'Incidental 69', 'Dale', 'Incidental 42', 'Incidental 104', 'Incidental 14', 'Steven', 'Incidental 105', 'Incidental 107', 'Incidental 37A', 'Incidental 40', 'Incidental 27', 'Incidental 7', 'Incidental 60', 'Incidental 46', 'Incidental 47', 'Incidental 30', 'Incidental 67', 'Carol', 'Incidental 37B', 'Incidental 41', 'Incidental 91', 'Incidental 73', 'Incidental 64', 'Incidental 9', 'Incidental 31', 'Incidental 3', 'Fred', 'Incidental 1D', 'Incidental 49', 'Incidental 150', 'Incidental 92', 'Incidental 21', 'Incidental 36', 'Incidental 18', 'Incidental 68', 'Incidental 82', 'Mary', 'Incidental 17', 'Sandals', 'Incidental 6', 'Incidental 12', 'John', 'Incidental 63', 'Incidental 81', 'Incidental 103', 'Old Man Walker', 'Judge 1', 'Judge 2', 'Judge 3', 'Tutu whale', 'Unnamed purple fish', 'Pedro', 'French Narrator', 'Eugene H. Krabs', 'King Neptune']",https://spongebob.fandom.com/wiki/Slimy_Dancing,151-516,5,88c,"July 31, 2007",5:15 pm,2007,3.46,"10 minutes, 52 seconds","['""Money Talks""', '""SpongeBob vs. The Patty Gadget""']","['Nate Cash', 'Tuck Tucker', 'Richard Pursel']",,"['Nate Cash', 'Tuck Tucker']","['Tom Yasumi', 'Andrew Overtoom (initially or uncredited)']",Vincent Waller,"""The Krusty Sponge""","""SpongeBob vs. The Patty Gadget""","Mark Fite as Trainer, Fish #1, and Octopus",,,,Paul Tibbitt,,
The Krusty Sponge,"['Squidward Tentacles', 'King Neptune', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Gene Scallop', 'Bob Preflumster', 'Barbara', 'Incidentals', 'Musician 3', 'Incidental 108', 'Incidental 27', 'Incidental 41', 'Incidental 31', 'Incidental 42', 'Incidental 14', 'Incidental 67', 'Incidental 47', 'Incidental 46', 'Incidental 49', 'Incidental 40', 'Fred', 'Incidental 37B', 'Incidental 105', 'Incidental 107', 'Incidental 30', 'Incidental 30A', 'Incidental 65', 'Incidental 37A', 'Incidental 6', 'Incidental 63', 'Incidental 45', 'Incidental 2', 'Incidental 3', 'Incidental 8', 'Incidental 106', 'Incidental 13', 'Incidental 12', 'John', 'Steven', 'Incidental 9', 'Incidental 25', 'Incidental 64', 'Incidental 10', 'Incidental 68', 'Incidental 73', 'Incidental 93', 'Sandals', 'Incidental 151', 'Incidental 48', 'Incidental 150', 'Incidental 36', 'Incidental 152', 'Incidental 102', 'Incidental 69', 'Charlie', 'Incidental 104', 'Incidental 92', 'Incidental 155', 'Incidental 84', 'Old Man Walker', 'Incidental 17', 'Scooter', 'Incidental 153', 'Incidental 7', 'Incidental 60', 'Incidental 85', 'Incidental 119', 'Incidental 94', 'Incidental 21', 'Prison guard 2', 'Mrs. Tentacles', 'Horace A. Whopper']",https://spongebob.fandom.com/wiki/The_Krusty_Sponge,151-519,5,89a,"July 24, 2007",5:00 pm,2007,3.91,"10 minutes, 49 seconds","""Sing a Song of Patrick""","['Aaron Springer', 'Eric Shaw']",,Aaron Springer,Andrew Overtoom,Vincent Waller,"""Sing a Song of Patrick""","""Slimy Dancing""","['Gene Shalit as Gene Scallop', 'Mark Fite as Customer #3, Passenger #1, and Bailiff']",,,,Paul Tibbitt,,
Sing a Song of Patrick,"['Near Mint Comic Books cashier', 'Patrick Star', 'SpongeBob SquarePants', 'Gary the Snail', 'Coach', 'Squidward Tentacles', 'French Narrator', 'Unnamed band', 'Margie Star', 'Harold SquarePants', 'Margaret SquarePants', 'Incidentals', 'Incidental 31', 'Dale', 'Incidental 42', 'Steven', 'Incidental 105', 'Incidental 20', 'Incidental 27', 'Incidental 64', 'Lenny', 'Incidental 13', 'Incidental 107', 'Incidental 14', 'Harold', 'Incidental 48', 'Incidental 92', 'Sandals', 'Scooter', 'Incidental 155', 'Harris', 'nerds', 'Incidental 41', 'Incidental 118', 'Incidental 37A', 'Incidental 37B', 'Old Man Walker', 'Tom', 'Fred', 'Incidental 1B', 'Incidental 46', 'Incidental 39', 'Incidental 40', 'Incidental 102', 'Incidental 103', 'Incidental 106']",https://spongebob.fandom.com/wiki/Sing_a_Song_of_Patrick,151-520,5,89b,"February 19, 2007",8:15 pm,2007,5.34,11 minutes,"""The Krusty Sponge""","['Luke Brookshier', 'Tom King', 'Steven Banks']",,"['Luke Brookshier', 'Tom King']",Alan Smart,Vincent Waller,"""A Flea in Her Dome""","""The Krusty Sponge""","['Mark Fite as Coach, Bassist, and Pitchfork Vendor', 'Zachary Thorne as Fish #1, Fish #5, and Torch Vendor']",,,,Paul Tibbitt,,
A Flea in Her Dome,"['SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Margie Star', 'Sandy Cheeks', 'Fleas', 'Incidentals', 'Incidental 41', 'Incidental 14', 'Incidental 15', 'Incidental 17', 'Incidental 82', 'Incidental 48', 'Charlie', 'Incidental 10', 'Incidental 107', 'Incidental 27', 'Incidental 46', 'Incidental 49', 'Incidental 6', 'Incidental 92', 'Incidental 155', 'Fred', 'Incidental 108', 'Incidental F18', 'Incidental 21', 'Incidental 63', 'Incidental 105', 'Incidental 64', 'Incidental 106', 'Incidental 37A', 'Incidental 45', 'Incidental 73', 'Incidental 2', 'Incidental 158', 'Incidental 104', 'Incidental 67', 'Incidental 37B', 'Incidental 13', 'Incidental 7', 'Incidental 60', 'Old Man Walker', 'Incidental 153', 'Incidental 152', 'Incidental 151']",https://spongebob.fandom.com/wiki/A_Flea_in_Her_Dome,151-522,5,90a,"August 1, 2007",5:00 pm,2007,2.77,"10 minutes, 50 seconds","['""The Donut of Shame""', '""The Krusty Plate""']","['Casey Alexander', 'Zeus Cervas', 'Steven Banks']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""The Donut of Shame""","""Sing a Song of Patrick""",,,,,Paul Tibbitt,,
The Donut of Shame,"['Patrick Star', 'SpongeBob SquarePants', 'Gary the Snail', 'Angel donut', 'Devil donut']",https://spongebob.fandom.com/wiki/The_Donut_of_Shame,151-521-7 (521a),5,90b,"August 1, 2007",5:15 pm,2007,2.77,"7 minutes, 9 seconds","['""A Flea in Her Dome""', '""The Krusty Plate""']","['Nate Cash', 'Dani Michaeli']",,Nate Cash,Tom Yasumi,Vincent Waller,"""The Krusty Plate""","""A Flea in Her Dome""",,,,,Paul Tibbitt,,
The Krusty Plate,"['Incidentals', 'Incidental 104', 'Incidental 41', 'Eugene H. Krabs', 'SpongeBob SquarePants']",https://spongebob.fandom.com/wiki/The_Krusty_Plate,151-521-4 (521b),5,90c,"August 1, 2007",5:22 pm,2007,2.77,4 minutes,"['""A Flea in Her Dome""', '""The Donut of Shame""']","['Tuck Tucker', 'Eric Shaw']",,Tuck Tucker,Tom Yasumi,Vincent Waller,"""Goo Goo Gas""","""The Donut of Shame""",,,,,Paul Tibbitt,,
Goo Goo Gas,"['SpongeBob SquarePants', 'Sheldon J. Plankton', 'Eugene H. Krabs', 'Karen Plankton', 'Squidward Tentacles', 'Patrick Star', 'King Neptune', 'Baby fish', 'Mama Plankton', 'Billy', 'Amoeba', 'Incidentals', 'Incidental 2', 'Incidental 2Baby', 'Incidental 4', 'Tom', 'Incidental 6Baby', 'Incidental 7', 'Incidental 7Baby', 'Incidental 8', 'Incidental 20', 'Incidental 37A', 'Incidental 40Baby', 'Incidental 41', 'Incidental 41Baby', 'Incidental 42', 'Incidental 45', 'Incidental 47', 'Incidental 47Baby', 'Incidental 49', 'Incidental 63', 'Incidental 63Baby', 'Incidental 64', 'Incidental 64Baby', 'Billy', 'Incidental 67', 'Harris', 'Incidental 81', 'Incidental 82', 'Old Man Walker', 'Mabel', 'Incidental 85', 'Mary', 'Incidental 92', 'Incidental 93', 'Incidental 104', 'Incidental 105', 'Incidental 107', 'Incidental 107Baby', 'Incidental 118', 'Incidental 118D', 'Incidental 151', 'Incidental 151Baby']",https://spongebob.fandom.com/wiki/Goo_Goo_Gas,151-523,5,91a,"December 13, 2007",7:00 pm,2007,4.85,"10 minutes, 51 seconds","""Le Big Switch""","['Luke Brookshier', 'Tom King', 'Dani Michaeli']",,"['Luke Brookshier', 'Tom King']",Alan Smart,Vincent Waller,"""Le Big Switch""","""The Krusty Plate""",,,,,Paul Tibbitt,,
Le Big Switch,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Eugene H. Krabs', 'Mr. Le Schnook Luigi', 'Mr. Crustacean', 'French Narrator', 'Incidentals', 'Incidental 108', 'Incidental 48', 'Incidental 60', 'Incidental 42', 'Incidental 41', 'Tom', 'Incidental 14', 'Incidental 67', 'Incidental 68', 'Incidental 107', 'Incidental 30A', 'Incidental 2', 'Incidental 73', 'Incidental 34', 'Incidental 63', 'Incidental 64', 'Incidental 20', 'Incidental 16', 'Incidental 37B', 'Incidental F18', 'Incidental F1', 'Incidental 1B', 'Incidental F6', 'Incidental F19', 'Incidental F2', 'Incidental 4', 'Incidental F17', 'Incidental 40', 'Incidental 15', 'Charlie', 'Incidental 118', 'Incidental F9', 'Incidental F4', 'Incidental F8', 'Incidental F24', 'Incidental F23', 'Incidental F3', 'Incidental F10', 'Incidental F12', 'Incidental F13', 'Incidental F14', 'Incidental F16', 'Incidental F11', 'Incidental 118C', 'Teen 2', 'Teen 4A', 'Teen 5', 'Teen 6', 'Teen 7', 'Teen 10', 'Teen 13', 'Teen 15', 'Fancy dandy fish', 'Underbite worker', 'Short construction worker', 'Worker fish', 'Pearl Krabs']",https://spongebob.fandom.com/wiki/Le_Big_Switch,151-524,5,91b,"September 29, 2007",8:45 pm,2007,2.26,11 minutes,"""Goo Goo Gas""","['Nate Cash', 'Tuck Tucker', 'Richard Pursel']",,"['Nate Cash', 'Tuck Tucker']",Tom Yasumi,Vincent Waller,"""Atlantis SquarePantis""","""Goo Goo Gas""",,,,,Paul Tibbitt,,
Atlantis SquarePantis,"['Paul Tibbitt', 'Paul Tibbitt', 'Paul Tibbitt', 'Patchy the Pirate', 'Potty the Parrot', 'SpongeBob SquarePants', 'Patrick Star', 'Eugene H. Krabs', 'King Neptune', 'Squidward Tentacles', 'Sandy Cheeks', 'Captain of the Sea Ship Atlantis', 'Sheldon J. Plankton', 'Incidentals', 'Incidental 42', 'Carol', 'Incidental 45', 'Incidental 152', 'Incidental 93', 'Incidental 30', 'Incidental 25', 'Incidental 1B', 'Nerd 1', 'Nerd 2', 'Dale', 'Incidental 107', 'Incidental 37A', 'Incidental 41', 'Prison guard 2', 'Atlantean citizens', 'Lord Royal Highness', 'Nando', 'Aggressive Case of the Sniffles', 'Germs', 'Jellyfish', 'Patar', 'SpongeGar', 'Squog', 'SpongeBot SteelPants', 'Gary the Snail', 'Party snails', 'Encino', 'Vulture', 'Norblock Five', 'Norblock Five']",https://spongebob.fandom.com/wiki/Atlantis_SquarePantis,"['151-517', '151-518998']",5,92,"October 17, 2007",8:00 pm,2007,"['8.76', '9.22 (live+7)', '4.28 (w/Patchy)']","40 minutes, 33 seconds",,"['Casey Alexander', 'Zeus Cervas', 'Aaron Springer (live-action writer only)', 'Steven Banks (additional material for the live-action sequence)', 'Dani Michaeli', 'Vincent Waller (songwriter only)', 'Paul Tibbitt (songwriter and live-action writer only)']",,"['Casey Alexander', 'Zeus Cervas', 'Aaron Springer (Good-Bye Atlantis song portion only)']",Andrew Overtoom,Vincent Waller,"""Picture Day""","""Le Big Switch""",David Bowie as Lord Royal Highness,,,,Paul Tibbitt,,
